id,title,author,year,pages,categories,description,rating,ratings_count
88,George Orwell,John Rodden,2001,534,Literary Criticism,"This study examines how George Orwell's legacy as a writer developed, and the importance of his work both during and after his lifetime. John Rodden seeks to bring Orwell's work into proper focus while providing insight into the phenomenon of literary fame.",0.0,0
89,Orwell On Truth,George Orwell,2018,223,Literary Collections,"Over the course of his career, George Orwell wrote about many things, but no matter what he wrote the goal was to get at the fundamental truths of the world. He had no place for dissemblers, liars, conmen, or frauds, and he made his feelings well-known. In Orwell on Truth, excerpts from across Orwell’s career show how his writing and worldview developed over the decades, profoundly shaped by his experiences in the Spanish Civil War, and further by World War II and the rise of totalitarian states. In a world that seems increasingly like one of Orwell’s dystopias, a willingness to speak truth to power is more important than ever. With Orwell on Truth, readers get a collection of both powerful quotes and the context for them.",4.0,1
90,Джордж Оруэлл. Неприступная душа,Вячеслав Недошивин,2018,854,Biography & Autobiography,"Вячеслав Недошивин – писатель, автор книг «Адреса любви. Дома и домочадцы русской литературы. Москва, Санкт-Петербург, Париж» и «Прогулки по Серебряному веку. Санкт-Петербург». Долгие годы – от диссертации об антиутопиях в 1985 году до статей в научных сборниках и журналах («Иностранная литература») – занимался творчеством Дж.Оруэлла и переводами его произведений. «Джордж Оруэлл. Неприступная душа» – это не только подробнейшая биография английского классика, не просто увлекательный рассказ о его жизни и книгах, о его взглядах и его эпохе, – но и, в каком-то смысле, первый его «русский портрет». О русской женщине, в которую был влюблен, об офицере-эмигранте из России, спасавшем его в Париже, и о фронтовом друге-петербуржце, которого, напротив, спасал в Испании уже сам Оруэлл, о дневниках писателя, исчезнувших в подвалах Лубянки, и о переписке с СССР, которую обнародовали у нас лишь в девяностых... Книга иллюстрирована уникальными фотографиями из лондонского архива писателя, многие из которых публикуются в России впервые.",0.0,0
91,The Complete Works of George Orwell,George Orwell,1986,328,,,0.0,0
92,The World of George Orwell,Miriam Gross,1971,270,Biography & Autobiography,Photographs and selected essays provide a record of the English author's life and career and reveal the major phases of his intellectual development.,0.0,0
93,"History of Oswego County, New York",Crisfield Johnson,1877,778,Oswego County (N.Y.),This illustrated volume includes biographical sketches of some of Oswego County's prominent pioneers alongwith histories of the City of Oswego and of each townin the county.,0.0,0
94,A Psychoanalytical Study of the Novels of George Orwell,Gerald Lionel Fiderer,1967,442,,,0.0,0
95,"1984 in 1984, Orwell as Prophecy",Richard Waldron,1985,84,Literary Criticism,,0.0,0
96,Harry Potter,S. Gunelius,2008,214,Business & Economics,"The Harry Potter books are the bestselling books of all time. In this fascinating study, Susan Gunelius analyzes every aspect of the brand phenomenon that is Harry Potter. Delving into price wars, box office revenue, and brand values, amongst other things, this is the story of the most incredible brand success there has ever been.",3.0,8
97,Джоан Роулинг. Неофициальная биография создательницы вселенной «Гарри Поттера»,Марина Ленти,2022,536,Biography & Autobiography,"Биография Джоан Роулинг, написанная итальянской исследовательницей ее жизни и творчества Мариной Ленти. Роулинг никогда не соглашалась на выпуск официальной биографии, поэтому и на родине писательницы их опубликовано немного. Вся информация почерпнута автором из заявлений, которые делала в средствах массовой информации в течение последних двадцати трех лет сама Роулинг либо те, кто с ней связан, а также из новостных публикаций про писательницу с тех пор, как она стала мировой знаменитостью. В книге есть одна выразительная особенность. В ней сделана попытка собрать и описать, насколько это возможно, многочисленные отблески событий жизни писательницы, которые либо напрямую, либо косвенно могли послужить материалом для саги о Гарри Поттере.В формате PDF A4 сохранен издательский макет книги.",0.0,0
98,Harry Potter,J. K. Rowling,2010,7,"Children's stories, English",A boxed set incorporating the complete set of 'Signature' edition Harry Potter titles. Including the titles - 'Philosopher's Stone'; 'Chamber of Secrets'; 'Prisoner of Azkaban'; 'Goblet of Fire'; 'Order of the Phoenix'; 'The Half-blood Prince'; 'The Deathly Hallows'.,0.0,0
99,Oracle Database 12c PL/SQL Programming,Michael McLaughlin,2014,1194,Computers,"Master Oracle Database 12c PL/SQL Application Development Develop, debug, and administer robust database programs. Filled with detailed examples and expert strategies from an Oracle ACE, Oracle Database 12c PL/SQL Programming explains how to retrieve and process data, write PL/SQL statements, execute effective queries, incorporate PHP and Java, and work with dynamic SQL. Code testing, security, and object-oriented programming techniques are fully covered in this comprehensive Oracle Press guide. Explore new SQL and PL/SQL features in Oracle Database 12c Build control structures, cursors, and loop statements Work with collections, varrays, tables, and associative array collections Locate and repair errors and employ exception handlers Execute black box, white box, and integration tests Configure and manage stored packages and libraries Handle security with authentication and encryption Use LOBs to store text and multimedia content Write and implement PL/SQL and Java triggers Extend functionality using dynamic SQL statements Understand object types, nested tables, and unnesting queries",0.0,0
100,Some Account of the Worshipful Company of Clockmakers of the City of London,Worshipful Company of Clockmakers,1881,396,Clock and watch makers,,0.0,0
101,Global Marketing,Warren J. Keegan,2005,664,Business & Economics,"WHAT MAKES THIS BOOK UNIQUE? Warren Keegan and Mark Green approached the fourth edition of ""Global Marketing"" with this goal: To write a book that reflects current issues and events, features conceptual and analytical tools that will help the reader apply the ""4P""s to global marketing, and is authoritative in content yet relaxed and assured in style and tone.",0.0,0
102,Norwalk,Charles Melbourne Selleck,1896,580,Norwalk (Conn.),,0.0,0
103,Daniel Radcliffe,John Bankston,2004,40,Juvenile Nonfiction,"All Harry Potter knew was a miserable life with the Dursleys, his horrible aunt and uncle, and their hateful son, Dudley. His room was a tiny closet at the foot of the stairs. He hadn't had a birthday party in eleven years. All that changed in Harry Potter and the Sorcerer's Stone. Daniel Radcliffe, on the other hand, the young actor who was chosen to play Harry Potter, led a comfortable life in London, England. His biggest obstacle was convincing his parents that he was up to the challenge of playing the role of Harry Potter. Here is the story of the young teen and his role of a lifetime. Book jacket.",5.0,1
104,Madison Public Schools Report for ...,Madison (Wis.). Board of Education,1886,744,Education,,2.0,1
105,A Game of Thrones,George R. R. Martin,2003,865,Fiction,"NOW THE ACCLAIMED HBO SERIES GAME OF THRONES—THE MASTERPIECE THAT BECAME A CULTURAL PHENOMENON Here is the first book in the landmark series that has redefined imaginative fiction and become a modern masterpiece. A GAME OF THRONES In a land where summers can last decades and winters a lifetime, trouble is brewing. The cold is returning, and in the frozen wastes to the North of Winterfell, sinister and supernatural forces are massing beyond the kingdom’s protective Wall. At the center of the conflict lie the Starks of Winterfell, a family as harsh and unyielding as the land they were born to. Sweeping from a land of brutal cold to a distant summertime kingdom of epicurean plenty, here is a tale of lords and ladies, soldiers and sorcerers, assassins and bastards, who come together in a time of grim omens. Amid plots and counterplots, tragedy and betrayal, victory and terror, the fate of the Starks, their allies, and their enemies hangs perilously in the balance, as each endeavors to win that deadliest of conflicts: the game of thrones. A GAME OF THRONES • A CLASH OF KINGS • A STORM OF SWORDS • A FEAST FOR CROWS • A DANCE WITH DRAGONS",4.0,156
106,Shakespeare and Game of Thrones,Jeffrey R. Wilson,2020,141,History,"It is widely acknowledged that the hit franchise Game of Thrones is based on the Wars of the Roses, a bloody fifteenth-century civil war between feuding English families. In this book, Jeffrey R. Wilson shows how that connection was mediated by Shakespeare, and how a knowledge of the Shakespearean context enriches our understanding of the literary elements of Game of Thrones. On the one hand, Shakespeare influenced Game of Thrones indirectly because his history plays significantly shaped the way the Wars of the Roses are now remembered, including the modern histories and historical fictions George R.R. Martin drew upon. On the other, Game of Thrones also responds to Shakespeare’s first tetralogy directly by adapting several of its literary strategies (such as shifting perspectives, mixed genres, and metatheater) and tropes (including the stigmatized protagonist and the prince who was promised). Presenting new interviews with the Game of Thrones cast, and comparing contextual circumstances of composition—such as collaborative authorship and political currents—this book also lodges a series of provocations about writing and acting for the stage in the Elizabethan age and for the screen in the twenty-first century. An essential read for fans of the franchise, as well as students and academics looking at Shakespeare and Renaissance literature in the context of modern media.",0.0,0
107,Medievalism in A Song of Ice and Fire and Game of Thrones,Shiloh Carroll,2018,216,Literary Criticism,"Game of Thrones is famously inspired by the Middle Ages - but how ""authentic"" is the world it presents? This volume offers different angles to the question. One of the biggest attractions of George R.R. Martin's high fantasy series A Song of Ice and Fire, and by extension its HBO television adaptation, Game of Thrones, is its claim to historical realism. The author, thedirectors and producers of the adaptation, and indeed the fans of the books and show, all lay claim to Westeros, its setting, as representative of an authentic medieval world. But how true are these claims? Is it possible to faithfully represent a time so far removed from our own in time and culture? And what does an authentic medieval fantasy world look like? This book explores Martin's and HBO's approaches to and beliefs about the Middle Ages and how those beliefs fall into traditional medievalist and fantastic literary patterns. Examining both books and programme from a range of critical approaches - medievalism theory, gender theory, queer theory, postcolonial theory, andrace theory - Dr Carroll analyzes how the drive for historical realism affects the books' and show's treatment of men, women, people of colour, sexuality, and imperialism, as well as how the author and showrunners discuss these effects outside the texts themselves. SHILOH CARROLL teaches in the writing center at Tennessee State University.",0.0,0
108,"A Game of Thrones Enhanced Edition (A Song of Ice and Fire, Book 1)",George R.R. Martin,2012,641,Fiction,"A stunning enhanced edition of the hugely popular and highly acclaimed epic fantasy, featuring an interactive map tracking main characters’ journeys, audio extracts of key scenes and a hyperlinked character glossary. Now a major Sky Atlantic TV series from HBO, featuring a stellar cast.",0.0,0
109,Power and Subversion in Game of Thrones,A. Keith Kelly,2022,199,Performing Arts,"This collection of essays examines the structures of power and the ways in which power is exercised and felt in the fantasy world of Game of Thrones. It considers how the expectations of viewers, particularly within the genre of epic fantasy, are subverted across the full 8 seasons of the series. The assembled team of international scholars, representing a variety of disciplines, addresses such topics as the power of speech and magic; the role of nationality and politics; disability, race and gender; and the ways in which each reinforces or subverts power in Westeros and Essos.",0.0,0
110,"Machtbeziehungen in der TV-Serie ""Game of Thrones"" vor dem Hintergrund vormoderner Machtkonzeptionen in mittelalterlicher deutscher Epik",Lara Schmidt,2022,77,Literary Criticism,"Examensarbeit aus dem Jahr 2014 im Fachbereich Germanistik - Ältere Deutsche Literatur, Mediävistik, Note: 1,3, Johann Wolfgang Goethe-Universität Frankfurt am Main, Sprache: Deutsch, Abstract: Politik, Krieg und Diplomatie bestimmen die Welt der Targaryens, Starks, Baratheons und Lannisters. Der Begriff der Macht eint und beschreibt den von Riccarda Schultchen beschriebenen core narrative. In der Arbeit soll es daher um die symbolischen und moralischen Codierungen von Machtbeziehungen in ""Game of Thrones"" gehen. Welche Bedeutung kommt den Wappen der Herrscherhäuser zu? Welchen moralischen Grundannahmen unterliegen die Handlungen der Charaktere und welche Funktion hat minne innerhalb der Machtbeziehungen? Alle genannten Aspekte werden vor dem Hintergrund mittelalterlicher Epik bewertet. Das Nibelungenlied und Gottfried von Straßburgs Tristan bilden die Grundlage hierfür.",0.0,0
111,HBO’s Original Voices,Victoria McCollum,2018,299,Social Science,"This book constitutes the first major exploration of HBO's current programming, examined in the context of the transformation of American television and global society. With studies of well-known shows such as Game of Thrones, Girls, Insecure, Looking, Silicon Valley, The Comeback, The Leftovers, True Detective and Veep and Vinyl, the authors examine the trends in current programming, including the rise of queer characters, era-defining comedy, reinvented fantasy series, and the content’s new awareness of gender, sexuality and family dysfunction. Interdisciplinary and international in scope, HBO’s New and Original Voices explores the sociocultural and political role and impact that HBO's current programmes have held and the ways in which it has translated and reinterpreted social discourses into its own televisual language. A significant intervention in television studies, media studies and cultural studies, this book illuminates the emergence of a new era of culturally relevant television that fans, students, and researchers will find lively, accessible and fascinating.",0.0,0
112,Beyond Blurred Lines,Nickie D. Phillips,2016,307,Social Science,"From its origins in academic discourse in the 1970s to our collective imagination today, the concept of “rape culture” has resonated in a variety of spheres, including television, gaming, comic book culture, and college campuses. Beyond Blurred Lines traces ways that sexual violence is collectively processed, mediated, negotiated, and contested by exploring public reactions to high-profile incidents and rape narratives in popular culture. The concept of rape culture was initially embraced in popular media – mass media, social media, and popular culture – and contributed to a social understanding of sexual violence that mirrored feminist concerns about the persistence of rape myths and victim-blaming. However, it was later challenged by skeptics who framed the concept as a moral panic. Nickie D. Phillips documents how the conversation shifted from substantiating claims of a rape culture toward growing scrutiny of the prevalence of sexual assault on college campuses. This, in turn, renewed attention toward false allegations, and away from how college enforcement policies fail victims to how they endanger accused young men. Ultimately, she successfully lends insight into how the debates around rape culture, including microaggressions, gendered harassment and so-called political correctness, inform our collective imaginations and shape our attitudes toward criminal justice and policy responses to sexual violence.",0.0,0
113,The Unofficial Guide to Game of Thrones,Kim Renfro,2019,384,Performing Arts,"The everything-you-missed, wanted-to-know-more-about, and can’t-get-enough guide to the Game of Thrones television series—from the first episode to the epic finale. Valar morghulis! Spanning every episode across all eight seasons, INSIDER’s entertainment correspondent Kim Renfro goes deep into how the show was made, why it became such a phenomenon and explores every detail you want to know. It’s the perfect book to look back at all you may have missed or to jump-start you on a second viewing of the whole series. As an entertainment correspondent, Renfro has covered the show’s premieres, broken down key details in scenes, explored characters’ histories, and interviewed the cast, directors, and crew. In this book, she sheds new light on the themes, storylines, character development, the meaning of the finale, and what you can expect next. Some of the questions answered here include: What was the Night King’s ultimate purpose? How did the show effect George R.R. Martin’s ability to finish the book series? Why were the final seasons shorter? Why did the direwolves get shortchanged? How were the fates of Jon Snow and Daenerys Targaryen foretold from the start? Was that really a bittersweet ending? Winter may have come and gone, but there is still plenty to discover and obsess over in this behind-the-scenes fan guide to the Game of Thrones HBO series.",0.0,0
114,A Game of Thrones: The Graphic Novel,George R. R. Martin,2012,241,Comics & Graphic Novels,"This graphic novel adaptation contains more than fifty pages of exclusive content not available in the original comic books, including • a new Preface by George R. R. Martin • early renderings of key scenes and favorite characters from the novels • a walk-through of the entire creative process, from auditioning the artists to tweaking the scripts to coloring the final pages • behind-the-scenes commentary from Daniel Abraham, Tommy Patterson, and series editor Anne Groell You’ve read the books. You’ve watched the hit series on HBO. Now acclaimed novelist Daniel Abraham and illustrator Tommy Patterson bring George R. R. Martin’s epic fantasy masterwork A Game of Thrones to majestic new life in the pages of this full-color graphic novel, comprised of the initial six issues of the graphic series. Winter is coming. Such is the stern motto of House Stark, the northernmost of the fiefdoms that owe allegiance to King Robert Baratheon in far-off King’s Landing. There Eddard Stark of Winterfell rules in Robert’s name. There his family dwells in peace and comfort: his proud wife, Catelyn; his sons Robb, Brandon, and Rickon; his daughters Sansa and Arya; and his bastard son, Jon Snow. Far to the north, behind the towering Wall, lie savage Wildings and worse—unnatural things relegated to myth during the centuries-long summer, but proving all too real and all too deadly in the turning of the season. Yet a more immediate threat lurks to the south, where Jon Arryn, the Hand of the King, has died under mysterious circumstances. Now Robert is riding north to Winterfell, bringing his queen, the lovely but cold Cersei, his son, the cruel, vainglorious Prince Joffrey, and the queen’s brothers Jaime and Tyrion of the powerful and wealthy House Lannister—the first a swordsman without equal, the second a dwarf whose stunted stature belies a brilliant mind. All are heading for Winterfell and a fateful encounter that will change the course of kingdoms. Meanwhile, across the Narrow Sea, Prince Viserys, heir of the fallen House Targaryen, which once ruled all of Westeros, schemes to reclaim the throne with an army of barbarian Dothraki—whose loyalty he will purchase in the only coin left to him: his beautiful yet innocent sister, Daenerys.",0.0,0
115,"The Art of Game of Thrones, the Official Book of Design from Season 1 to Season 8",Deborah Riley,2019,432,Art,"Filled with gorgeous illustrations and artwork from HBO's hit series, The Art of Game of Thrones is the definitive collection. Beautifully crafted and presented in a deluxe, large format, these pages present a visual chronicle of the meticulous work done by artists to bring the world of Westeros to life on-screen.",0.0,0
116,Women in Game of Thrones,Valerie Estelle Frankel,2014,215,Performing Arts,"Game of Thrones, one of the hottest series on television, leaves hundreds of critics divided on how ""feminist"" the show really is. Certainly the female characters, strong and weak, embody a variety of archetypes--widow queens, warrior women, damsels in distress, career women, priestesses, crones, mothers and maidens. However, the problem is that most of them play a single role without nuance--even the ""strong women"" have little to do besides strut about as one-note characters. This book analyzes the women and their portrayals one by one, along with their historical inspirations. Accompanying issues in television studies also appear, from the male gaze to depiction of race. How these characters are treated in the series and how they treat themselves becomes central, as many strip for the pleasure of men or are sacrificed as pawns. Some nude scenes or moments of male violence are fetishized and filmed to tantalize, while others show the women's trauma and attempt to identify with the scene's female perspective. The key is whether the characters break out of their traditional roles and become multidimensional.",5.0,1
117,The Little Book of Game of Thrones Facts,Fact Bomb Company Limited,2018,113,Fiction,"The Fact Bomb Company proudly presents the Little Book of Game of Thrones Facts.We have complied the ultimate list of Game of Thrones facts covering the books, television series, major houses, key organisations, religions, history and more! This book makes a fine addition to the collection of any Game of Thrones fan and will provide plenty of unbelievable facts to impress family, friends or work colleagues. In the spirit of House Stark, ""THE FACTS ARE COMING!""",0.0,0
118,The World of Ice & Fire,George R. R. Martin,2014,338,Fiction,"NEW YORK TIMES BESTSELLER • Perfect for fans of A Song of Ice and Fire and HBO’s Game of Thrones—an epic history of Westeros and the lands beyond, featuring hundreds of pages of all-new material from George R. R. Martin! If the past is prologue, then George R. R. Martin’s masterwork—the most inventive and entertaining fantasy saga of our time—warrants one hell of an introduction. At long last, it has arrived with The World of Ice & Fire. This lavishly illustrated volume is a comprehensive history of the Seven Kingdoms, providing vividly constructed accounts of the epic battles, bitter rivalries, and daring rebellions that lead to the events of A Song of Ice and Fire and HBO’s Game of Thrones. In a collaboration that’s been years in the making, Martin has teamed with Elio M. García, Jr., and Linda Antonsson, the founders of the renowned fan site Westeros.org—perhaps the only people who know this world almost as well as its visionary creator. Collected here is all the accumulated knowledge, scholarly speculation, and inherited folk tales of maesters and septons, maegi and singers, including • artwork and maps, with more than 170 original pieces • full family trees for Houses Stark, Lannister, and Targaryen • in-depth explorations of the history and culture of Westeros • 100% all-new material, more than half of which Martin wrote specifically for this book The definitive companion piece to George R. R. Martin’s dazzlingly conceived universe, The World of Ice & Fire is indeed proof that the pen is mightier than a storm of swords.",5.0,1
119,The Lord of the Rings,John Ronald Reuel Tolkien,2004,1200,Fiction,"In time for the golden anniversary of the arrival of part one of Tolkien's epic masterpiece on these shore comes a spectacular new edition of ""The Lord of the Rings."" The text is fully correctedQunder the supervision of Christopher TolkienQto meet the author's exacting wishes, and includes two large-format fold-out maps, a ribbon placemarker, and exceptionally elegant packaging. 0-618-51765-0$100.00 / Houghton Mifflin",4.5,29
120,The Fellowship of the Ring,J.R.R. Tolkien,1988,532,Fiction,"The opening novel of The Lord of the Rings—the greatest fantasy epic of all time—which continues in The Two Towers and The Return of the King. Nominated as one of America’s best-loved novels by PBS’s The Great American Read The dark, fearsome Ringwraiths are searching for a Hobbit. Frodo Baggins knows that they are seeking him and the Ring he bears—the Ring of Power that will enable evil Sauron to destroy all that is good in Middle-earth. Now it is up to Frodo and his faithful servant, Sam, with a small band of companions, to carry the Ring to the one place it can be destroyed: Mount Doom, in the very center of Sauron’s realm.",0.0,0
121,"The Fellowship of the Ring (The Lord of the Rings, Book 1)",J. R. R. Tolkien,2009,442,Fiction,Darkness Will Bind Them... watch The Lord of the Rings: The Rings of Power season 2 on Prime Video,4.5,13
122,"The Lord of the Rings: The Fellowship of the Ring, The Two Towers, The Return of the King",J. R. R. Tolkien,2009,1229,Fiction,Darkness Will Bind Them... watch The Lord of the Rings: The Rings of Power season 2 on Prime Video,4.5,54
123,The Lord of the Rings,Wayne G. Hammond,2005,986,Fiction,"This reader's companion to 'The Lord of the Rings' examines Tolkien's masterpiece chapter by chapter, offering expert insights into its evolution, structure, and meaning.",0.0,0
124,Watching the Lord of the Rings,Ernest Mathijs,2008,316,Literary Criticism,"How did audiences across the world respond to the films of The Lord of the Rings? This book presents findings from the largest film audience project ever undertaken, drawing from 25,000 questionnaire responses and a wide array of other materials. Contributors use these materials to explore a series of widely speculated questions: why is film fantasy important to different kinds of viewers? Through marketing, previews and reviews, debates and cultural chatter, how are audiences prepared for a film like this? How did fans of the book respond to its adaptation on screen? How do people choose their favorite characters? How was the films' reception shaped by different national and cultural contexts? The answers to these questions shed fresh light on the extraordinary popularity of The Lord of the Rings and provide important new insights into the global reception of cinema in the twenty-first century.",0.0,0
125,The Lord of the Rings and Philosophy,Gregory Bassham,2013,256,Philosophy,"The Lord of the Rings is intended to be applicable to the real world of relationships, religion, pleasure, pain, and politics. Tolkien himself said that his grand tale of wizards, orcs, hobbits, and elves was aimed at truth and good morals in the actual world. Analysis of the popular appeal of The Lord of the Rings (on websites and elsewhere) shows that Tolkien fans are hungry for discussion of the urgent moral and cosmological issues arising out of this fantastic epic story. Can political power be wielded for good, or must it always corrupt? Does technology destroy the truly human? Is it morally wrong to give up hope? Can we find meaning in chance events? In The Lord of the Rings and Philosophy, seventeen young philosophy professors, all of them ardent Tolkien fans and most of them contributors to the four earlier volumes in the Popular Culture and Philosophy series, address some of these important issues and show how clues to their solutions may be found in the imaginary world of Middle-earth. The book is divided into five sections, concerned with Power and the Ring, the Quest for Happiness, Good and Evil in Middle-earth, Time and Mortality, and the Relevance",0.0,0
126,The Lord of the Rings,Ernest Mathijs,2006,368,Business & Economics,"Bringing together leading scholars in the fields of media and film studies to explore the various strategies and implications underlying the global presence of 'Lord of the Rings', this book covers different national contexts and presents a lively and diverse combination of textual, historical and empirical study.",5.0,1
127,The Lord of the Rings Illustrated,J. R. R. Tolkien,2021,1240,Fiction,"For the first time ever, a very special edition of the J. R. R. Tolkien's classic masterpiece, The Lord of the Rings, gorgeously illustrated throughout in color by the author himself. Since it was first published in 1954, The Lord of the Rings has been a book people have treasured. Steeped in unrivaled magic and otherworldliness, Tolkien's sweeping fantasy and epic adventure has touched the hearts of young and old alike. More than 150 million copies of its many editions have been sold around the world, and occasional collectors’ editions become prized and valuable items of publishing. This one-volume, jacketed hardcover edition contains the complete text, fully corrected and reset, which is printed in red and black and features, for the very first time, thirty color illustrations, maps and sketches drawn by Tolkien himself as he composed this epic work. These include the pages from the Book of Mazarbul, marvelous facsimiles created by Tolkien to accompany the famous ‘Bridge of Khazad-dum’ chapter. Also appearing are two removable fold-out maps drawn by Christopher Tolkien revealing all the detail of Middle-earth.",0.0,0
128,The Lord of the Rings,J. R. R. Tolkien,2002,276,Fiction,"Vietnamese version of Tolkien's Lord of the Ring: Fellowship of the Ring, book 1 of the series. Vietnamese translation by Nguyen Thi Thu Yen and Dang Tran Viet, and the poetry parts are by An Ly. New 2015 edition. In Vietnamese. Annotation copyright Tsai Fong Books, Inc. Distributed by Tsai Fong Books, Inc.",3.0,1
129,The Two Towers,J.R.R. Tolkien,2012,495,Fiction,"Begin your journey into Middle-earth... The inspiration for the upcoming original series on Prime Video, The Lord of the Rings: The Rings of Power. The Two Towers is the second part of J.R.R. Tolkien’s epic adventure The Lord of the Rings. One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them. Frodo and his Companions of the Ring have been beset by danger during their quest to prevent the Ruling Ring from falling into the hands of the Dark Lord by destroying it in the Cracks of Doom. They have lost the wizard, Gandalf, in a battle in the Mines of Moria. And Boromir, seduced by the power of the Ring, tried to seize it by force. While Frodo and Sam made their escape, the rest of the company was attacked by Orcs. Now they continue the journey alone down the great River Anduin—alone, that is, save for the mysterious creeping figure that follows wherever they go. This continues the classic tale begun in The Fellowship of the Ring, which reaches its awesome climax in The Return of the King.",5.0,10
130,The Lord of the Rings: The two towers,John Ronald Reuel Tolkien,2001,1137,Fantasy fiction,"Impossible to describe in a few words, Tolkien's great work of imaginative fiction has been labelled both a heroic romance and a classic fantasy fiction. This is a reissue celebrating the release of the major motion picture trilogy, incorporating images from the films on the covers.",0.0,0
131,Understanding the Lord of the Rings,Rose A. Zimbardo,2004,308,Literary Collections,"Publisher's description: When first published, The Lord of the Rings stood far from the mainstream: no one had seen anything like it for decades. Tolkien's almost stridently antimodern tale needed valiant defenders, vocal admirers who understood its sources and relished its monumental scale. While such champions of modernism as Edmund Wilson mocked Tolkien's archaic structure and language, W.H. Auden -- a great modernist poet in his own right -- rose to his defense with a spirited essay on the true nature of the Hero Quest. Edmund Fuller's essay collected here discusses the nature of the fairy tale, returning to the roots of the term to remove the treacle of Disney and restore the value of realistic enchantment. Tolkien's friend C.S. Lewis takes up the question of why, if you have a serious comment to make about real life, you would drape it in a never-never land of your own. He shrewdly argues that it is because real life does have mythic and heroic qualities -- in abundance. This collection also includes, among others, essays by Marion Zimmer Bradley, Verlyn Flieger, Paul Kocher, Jane Chance, and each of the editors, as well as a brand-new essay by Tom Shippey that shows us how to process all this vast learning, adding to it the many delights of the film versions of Tolkien's epic masterpiece, so we can relish his achievement all the more.",3.5,5
132,Stephen King,Stephen King,1986,992,Fiction,,0.0,0
133,The Stand,Stephen King,2008,1195,Fiction,"#1 BESTSELLER • Stephen King’s apocalyptic vision of a world blasted by plague and tangled in an elemental struggle between good and evil remains as riveting—and eerily plausible—as when it was first published. One of The Atlantic’s Great American Novels of the Past 100 Years! This edition includes all of the new and restored material first published in The Stand: The Complete and Uncut Edition. A patient escapes from a biological testing facility, unknowingly carrying a deadly weapon: a mutated strain of super-flu that will wipe out 99 percent of the world’s population within a few weeks. Those who remain are scared, bewildered, and in need of a leader. Two emerge—Mother Abagail, the benevolent 108-year-old woman who urges them to build a peaceful community in Boulder, Colorado; and Randall Flagg, the nefarious “Dark Man,” who delights in chaos and violence. As the dark man and the peaceful woman gather power, the survivors will have to choose between them—and ultimately decide the fate of all humanity. ""A master storyteller.""—Los Angeles Times",4.5,67
134,The Body,Stephen King,2018,197,Fiction,"#1 New York Times bestselling author Stephen King’s timeless novella “The Body”—originally published in his short story collection Different Seasons, and adapted into the film classic Stand by Me—is now available as a stand-alone publication. It’s 1960 in the fictional town of Castle Rock, Maine. Ray Brower, a boy from a nearby town, has disappeared, and twelve-year-old Gordie Lachance and his three friends set out on a quest to find his body along the railroad tracks. During the course of their journey, Gordie, Chris Chambers, Teddy Duchamp, and Vern Tessio come to terms with death and the harsh truths of growing up in a small factory town that doesn’t offer much in the way of a future. A timeless exploration of the loneliness and isolation of young adulthood, Stephen King’s The Body is an iconic, unforgettable, coming-of-age story.",0.0,0
135,It,Stephen King,2016,1168,Fiction,"Stephen King's classic #1 New York Times bestseller and the basis for the massively successful films It: Chapter One and It: Chapter Two as well as inspiration for HBO Max’s upcoming Welcome to Derry—about seven adults who return to their hometown to confront a nightmare they had first stumbled upon as teenagers...an evil without a name: It. Welcome to Derry, Maine. It’s a small city, a place as hauntingly familiar as your own hometown. Only in Derry the haunting is real. They were seven teenagers when they first stumbled upon the horror. Now they are grown-up men and women who have gone out into the big world to gain success and happiness. But the promise they made twenty-eight years ago calls them reunite in the same place where, as teenagers, they battled an evil creature that preyed on the city’s children. Now, children are being murdered again and their repressed memories of that terrifying summer return as they prepare to once again battle the monster lurking in Derry’s sewers. Readers of Stephen King know that Derry, Maine, is a place with a deep, dark hold on the author. It reappears in many of his books, including Bag of Bones, Hearts in Atlantis, and 11/22/63. But it all starts with It. “Stephen King’s most mature work” (St. Petersburg Times), “It will overwhelm you…to be read in a well-lit room only” (Los Angeles Times).",4.0,24
